
Advertising
Promotional
Office Expenses
Other General and Admin Expenses
Fixed Assets (Furniture, Equipment, Computers)
Stationery & Printing 
Meals and Entertainment
Travel
Utilities
Rent or Lease
Legal & Professional Fees
Accounting
Contractors (except teachers)
Other items (+) 
Return (+)
Loan(+)
Taxes & Licenses 
Reimbursments - Sandri
Reimbursments - Galia
